,EmployeeID,EmployeeName,Education,EducationField,Department,JobRole,SelfRating,self_rating_category,ManagerRating,manager_rating_category,Salary,MaritalStatus,Ethnicity,Gender,Age,YearsAtCompany,TrainingOpportunitiesTaken,education_sorter
16,BD1B-53A3,Wendall Dryden,Bachelor's Degree,Marketing,Sales,Sales Executive,4.0,Above Average,3.375,Average,128885,Single,Mixed or multiple ethnic groups,Male,43,10,1,3
17,DFA9-990E,Cale Holston,Master's Degree,Marketing,Sales,Sales Executive,4.0,Above Average,3.625,Above Average,108315,Married,White,Male,43,10,0,2
18,ED73-F078,Ernaline Napolione,No Formal Qualifications,Computer Science,Technology,Software Engineer,4.0,Above Average,3.875,Above Average,136521,Married,Asian or Asian American,Female,45,10,3,5
19,C6EC-FEB5,Charlena Severwright,No Formal Qualifications,Economics,Sales,Sales Executive,4.125,Above Average,3.375,Average,151141,Single,White,Female,38,10,1,5
20,D7EE-56FC,Zsa zsa Evered,High School,Technical Degree,Sales,Sales Executive,4.0,Above Average,3.4,Average,107863,Married,White,Female,39,8,3,4
21,C395-8C36,Curcio Franek,No Formal Qualifications,Technical Degree,Human Resources,Recruiter,4.5,Excellent,4.0,Above Average,53616,Divorced,Mixed or multiple ethnic groups,Male,33,10,0,5
22,E348-E12B,Burnaby Guillet,High School,Information Systems,Technology,Software Engineer,4.5,Excellent,4.0,Above Average,61298,Divorced,White,Male,36,10,3,4
23,B3AF-7E58,Elvira Ianelli,High School,Human Resources,Human Resources,Recruiter,3.75,Above Average,3.25,Average,54132,Divorced,Black or African American,Female,45,10,1,4
24,469A-8121,Baxie Rising,Master's Degree,Information Systems,Technology,Engineering Manager,4.5,Excellent,3.875,Above Average,328415,Married,American Indian or Alaska Native,Male,30,10,0,2
25,9E22-6287,Gifford Poynser,Bachelor's Degree,Computer Science,Technology,Machine Learning Engineer,3.625,Above Average,3.5,Above Average,145337,Single,White,Non-Binary,48,10,0,3
26,D5DA-363A,Rickey Shere,High School,Marketing,Sales,Sales Executive,3.75,Above Average,3.25,Average,71201,Married,Asian or Asian American,Male,33,10,3,4
27,BFF3-AADC,Collen Sedman,High School,Marketing,Human Resources,Recruiter,4.25,Above Average,3.625,Above Average,55682,Divorced,American Indian or Alaska Native,Female,31,10,2,4
28,C0BE-FED0,Bertram Doleman,High School,Marketing,Sales,Sales Representative,4.0,Above Average,3.125,Average,63455,Married,White,Male,40,10,0,4
29,D565-284D,Bessie Bellson,Bachelor's Degree,Economics,Sales,Sales Executive,4.25,Above Average,3.75,Above Average,65626,Single,White,Female,47,10,1,3
30,00D4-DD53,Joyce Goor,No Formal Qualifications,Computer Science,Technology,Software Engineer,3.8,Above Average,3.3,Average,68508,Single,Black or African American,Female,30,5,1,5
31,7FFD-C810,Claresta Impy,High School,Other,Technology,Data Scientist,4.625,Excellent,4.0,Above Average,75821,Married,White,Female,32,10,1,4
32,07B2-D67A,Rossie Everleigh,High School,Economics,Sales,Manager,4.125,Above Average,3.625,Above Average,285620,Divorced,White,Male,44,10,1,4
33,1749-81A2,Elora Bentjens,Bachelor's Degree,Information Systems,Technology,Software Engineer,4.25,Above Average,3.625,Above Average,65860,Single,Black or African American,Female,48,10,0,3
34,FF14-A43E,Koenraad Nannizzi,No Formal Qualifications,Computer Science,Technology,Data Scientist,3.625,Above Average,3.375,Average,40786,Married,American Indian or Alaska Native,Male,47,10,0,5
35,3CD6-5587,Dorise Klishin,High School,Computer Science,Technology,Software Engineer,4.1,Above Average,3.5,Above Average,59697,Single,White,Female,31,7,0,4
36,4FC2-A40D,Gayle Riseley,Bachelor's Degree,Computer Science,Technology,Engineering Manager,3.875,Above Average,3.375,Average,316725,Married,Black or African American,Female,32,10,3,3
37,9AAB-DCD0,Staci Leith,High School,Business Studies,Technology,Software Engineer,4.25,Above Average,3.75,Above Average,105984,Divorced,White,Female,28,10,1,4
38,427A-8C69,Pasquale Abreheart,Bachelor's Degree,Other,Technology,Analytics Manager,4.125,Above Average,3.5,Above Average,393294,Married,Mixed or multiple ethnic groups,Male,32,10,2,3
39,A923-9EF6,Alaine Hinrichsen,No Formal Qualifications,Business Studies,Technology,Machine Learning Engineer,4.125,Above Average,3.625,Above Average,107008,Single,Black or African American,Female,41,10,1,5
40,5C61-8F3A,Dyana Gallie,No Formal Qualifications,Information Systems,Technology,Data Scientist,3.75,Above Average,3.0,Average,127432,Single,White,Female,34,10,0,5
41,CF2F-8CA3,Lindy Rawstorne,High School,Marketing,Sales,Sales Executive,3.75,Above Average,3.0,Average,76693,Married,White,Male,45,10,0,4
42,40A9-8EB0,Joannes McFadden,Bachelor's Degree,Information Systems,Technology,Software Engineer,4.125,Above Average,3.625,Above Average,90017,Single,White,Female,39,10,0,3
43,2E72-4BF1,Grace Gohier,Bachelor's Degree,Marketing,Sales,Manager,3.625,Above Average,2.875,Average,426142,Married,White,Male,44,10,2,3
44,EE39-C8F2,Jaclin Chadburn,High School,Computer Science,Technology,Software Engineer,4.625,Excellent,4.0,Above Average,46514,Married,White,Female,47,10,0,4
45,C0C7-A3EF,Hagen Worge,PhD,Economics,Sales,Sales Executive,3.625,Above Average,3.125,Average,125587,Single,White,Male,48,10,0,1
46,79F3-8AA5,Lacy Domerc,Bachelor's Degree,Marketing,Human Resources,HR Executive,3.875,Above Average,3.25,Average,98608,Single,Mixed or multiple ethnic groups,Female,47,10,1,3
47,9528-AA17,Jaquelin Kite,Bachelor's Degree,Information Systems,Technology,Software Engineer,4.0,Above Average,3.375,Average,72794,Married,Black or African American,Female,48,10,1,3
48,9C71-34AE,Yvor Walaron,High School,Computer Science,Technology,Software Engineer,4.0,Above Average,3.5,Above Average,69119,Single,White,Non-Binary,40,10,2,4
49,C79A-E5E1,Alvera Kulver,No Formal Qualifications,Computer Science,Technology,Data Scientist,4.4,Above Average,3.7,Above Average,48835,Divorced,White,Female,32,8,0,5
50,5468-EEE1,Forbes Toretta,High School,Computer Science,Technology,Senior Software Engineer,4.375,Above Average,3.875,Above Average,218406,Married,White,Male,28,10,2,4
51,B50B-5A18,Paulina Senecaut,Master's Degree,Computer Science,Technology,Software Engineer,4.25,Above Average,3.5,Above Average,42333,Divorced,Black or African American,Female,40,10,3,2
52,11AE-3E4D,Sheffie Tonkin,High School,Technical Degree,Sales,Manager,3.875,Above Average,3.75,Above Average,300299,Married,Mixed or multiple ethnic groups,Male,39,10,2,4
53,151D-1FF2,Kai Lush,High School,Marketing,Sales,Sales Executive,3.8,Above Average,3.3,Average,173246,Single,White,Female,34,9,1,4
54,D584-4E31,Patrica Lamyman,No Formal Qualifications,Economics,Human Resources,Recruiter,4.0,Above Average,3.625,Above Average,67264,Married,Mixed or multiple ethnic groups,Female,35,10,1,5
55,0FC8-561B,Caryl Loving,Bachelor's Degree,Computer Science,Technology,Senior Software Engineer,3.625,Above Average,3.375,Average,93591,Married,Asian or Asian American,Male,29,10,2,3
56,A531-8159,Carlyn Pavese,Bachelor's Degree,Information Systems,Technology,Data Scientist,3.875,Above Average,3.375,Average,82099,Divorced,Mixed or multiple ethnic groups,Female,37,10,2,3
57,E7A6-33A3,Amye Townes,Master's Degree,Information Systems,Technology,Data Scientist,3.5,Above Average,2.875,Average,83590,Married,White,Female,38,10,2,2
58,E4F4-11B9,Susanne Wisam,High School,Marketing,Sales,Sales Executive,4.1,Above Average,3.7,Above Average,122811,Single,White,Female,29,2,1,4
59,586E-5C14,Gunther Keays,No Formal Qualifications,Computer Science,Technology,Software Engineer,3.875,Above Average,3.25,Average,58551,Single,Black or African American,Male,40,10,1,5
60,8A40-C85A,Reggie Matthewman,Bachelor's Degree,Information Systems,Technology,Software Engineer,4.5,Excellent,3.875,Above Average,53325,Married,Black or African American,Female,44,10,0,3
61,2B08-7D3D,Roderic Daddow,Master's Degree,Marketing,Sales,Sales Representative,4.125,Above Average,3.75,Above Average,47326,Married,White,Male,45,10,1,2
62,C96F-0F3B,Jessa Glasscoo,No Formal Qualifications,Marketing,Sales,Sales Representative,4.625,Excellent,4.25,Above Average,48147,Married,White,Female,41,10,3,5
63,9DFE-1FD5,Angel Hazeup,Bachelor's Degree,Human Resources,Human Resources,HR Manager,4.5,Excellent,3.875,Above Average,463051,Married,Black or African American,Male,42,10,2,3
64,C0A1-EB7D,Leona McKnish,Bachelor's Degree,Computer Science,Technology,Senior Software Engineer,4.0,Above Average,3.5,Above Average,111294,Married,Asian or Asian American,Female,36,10,0,3
65,5731-90E6,Leonidas Clarke-Williams,Bachelor's Degree,Computer Science,Technology,Analytics Manager,4.125,Above Average,3.875,Above Average,542695,Single,Asian or Asian American,Non-Binary,35,10,1,3
66,FD3F-5255,Quintilla Wyllt,No Formal Qualifications,Information Systems,Technology,Data Scientist,3.625,Above Average,3.125,Average,64795,Divorced,White,Female,45,10,3,5
67,132B-F2B2,Erica Dracksford,Master's Degree,Computer Science,Technology,Software Engineer,3.75,Above Average,3.25,Average,59086,Married,White,Female,35,10,0,2
68,9DB2-76B3,Buck Klawi,Bachelor's Degree,Economics,Sales,Sales Executive,3.875,Above Average,3.25,Average,116966,Married,White,Male,41,10,1,3
69,4969-9A35,Thekla Flintuff,Master's Degree,Information Systems,Technology,Software Engineer,4.125,Above Average,3.75,Above Average,137427,Single,Asian or Asian American,Non-Binary,39,10,2,2
70,0CED-EE28,Ruthy Pena,No Formal Qualifications,Computer Science,Technology,Data Scientist,3.875,Above Average,3.25,Average,47464,Married,White,Female,48,10,1,5
71,D077-169C,Gustavo Chatel,High School,Technical Degree,Sales,Sales Executive,4.75,Excellent,4.125,Above Average,150731,Married,Black or African American,Male,46,10,2,4
72,63DA-AA21,Diannne Choules,Bachelor's Degree,Computer Science,Technology,Engineering Manager,4.5,Excellent,4.375,Above Average,436813,Divorced,White,Female,43,10,0,3
73,ACA9-5DC2,Mireielle Chstney,No Formal Qualifications,Economics,Sales,Sales Executive,4.25,Above Average,3.625,Above Average,205159,Married,White,Female,46,10,1,5
74,12B5-11CC,Vitoria MacVaugh,Bachelor's Degree,Information Systems,Technology,Software Engineer,4.125,Above Average,3.625,Above Average,70771,Married,White,Female,30,10,0,3
75,00A3-2445,Wyatt Ziehm,High School,Computer Science,Technology,Machine Learning Engineer,3.75,Above Average,3.375,Average,126238,Married,Black or African American,Male,30,10,2,4
76,076F-8AA3,Reese Dibbert,High School,Computer Science,Technology,Data Scientist,3.4,Average,3.0,Average,58685,Single,White,Male,39,9,2,4
77,3F19-FC5A,Hy Trevance,PhD,Marketing,Sales,Sales Executive,4.25,Above Average,3.625,Above Average,182764,Divorced,White,Male,35,10,0,1
78,8233-2483,Sheba McCromley,Bachelor's Degree,Marketing,Human Resources,Recruiter,4.0,Above Average,3.375,Average,47995,Divorced,Mixed or multiple ethnic groups,Female,35,10,1,3
79,1C87-44CB,Darlene Mansbridge,Bachelor's Degree,Computer Science,Technology,Software Engineer,3.7,Above Average,3.3,Average,48930,Married,Black or African American,Female,28,7,0,3
80,6345-2F33,Ignacius Streeter,High School,Computer Science,Technology,Machine Learning Engineer,3.875,Above Average,3.375,Average,102964,Married,Black or African American,Non-Binary,46,10,1,4
81,A2FB-2D5D,Lebbie Poure,PhD,Information Systems,Technology,Analytics Manager,4.0,Above Average,3.5,Above Average,482510,Married,White,Female,43,10,0,1
82,E5C1-B122,Camila Hernik,Master's Degree,Marketing,Sales,Sales Executive,4.375,Above Average,4.25,Above Average,116057,Married,Asian or Asian American,Female,36,10,1,2
83,462E-03DF,Muffin Ellcome,No Formal Qualifications,Computer Science,Technology,Software Engineer,3.5,Above Average,3.375,Average,90264,Married,White,Female,45,10,1,5
84,C2DD-9D37,Ring Genge,Master's Degree,Marketing,Sales,Sales Executive,4.125,Above Average,3.75,Above Average,106277,Married,Asian or Asian American,Male,42,10,0,2
85,AEDB-BB62,Munmro Ledamun,No Formal Qualifications,Computer Science,Technology,Machine Learning Engineer,4.625,Excellent,4.25,Above Average,264285,Divorced,Mixed or multiple ethnic groups,Male,39,10,1,5
86,88B8-EB84,Crystal McLleese,High School,Information Systems,Technology,Engineering Manager,4.25,Above Average,3.875,Above Average,357371,Divorced,Black or African American,Female,34,10,1,4
87,8822-B9C5,Amity Kalisz,Bachelor's Degree,Computer Science,Technology,Machine Learning Engineer,3.875,Above Average,3.25,Average,197592,Single,Black or African American,Female,41,10,1,3
88,E8F5-C47D,Jayne Mickleburgh,Bachelor's Degree,Human Resources,Human Resources,HR Executive,4.25,Above Average,4.0,Above Average,97153,Married,Mixed or multiple ethnic groups,Female,30,10,1,3
89,D696-9D82,Eberto Flaherty,Bachelor's Degree,Computer Science,Technology,Data Scientist,3.875,Above Average,3.375,Average,65416,Single,White,Male,38,10,0,3
90,BE93-0736,Lucas Oran,High School,Computer Science,Technology,Senior Software Engineer,4.25,Above Average,3.5,Above Average,117151,Divorced,Asian or Asian American,Male,35,10,0,4
91,0322-D46B,Nikolas Leslie,Master's Degree,Marketing,Sales,Sales Executive,4.375,Above Average,3.75,Above Average,105748,Married,Black or African American,Male,32,10,0,2
92,1E61-70EC,Addison Elfe,Master's Degree,Information Systems,Technology,Software Engineer,3.375,Average,2.875,Average,56608,Married,Black or African American,Male,46,10,1,2
93,5222-EBE1,Saxe Theodoris,Master's Degree,Computer Science,Technology,Machine Learning Engineer,3.75,Above Average,3.375,Average,194823,Married,Asian or Asian American,Male,30,10,0,2
94,DEBE-1622,Bartolemo Balma,PhD,Computer Science,Technology,Machine Learning Engineer,4.1,Above Average,3.6,Above Average,205433,Single,White,Male,28,4,0,1
95,A366-C17A,Jodie Le Breton De La Vieuville,Master's Degree,Business Studies,Technology,Machine Learning Engineer,3.875,Above Average,3.25,Average,126463,Divorced,White,Male,42,10,2,2
96,2962-039F,Darice Excell,PhD,Information Systems,Technology,Data Scientist,4.25,Above Average,3.875,Above Average,133616,Single,Mixed or multiple ethnic groups,Female,47,10,0,1
97,21CB-EF3E,Eleanora Thornbarrow,Bachelor's Degree,Information Systems,Technology,Senior Software Engineer,3.625,Above Average,2.75,Average,208338,Single,White,Female,36,10,2,3
98,9727-BC84,Murdock Spaduzza,Bachelor's Degree,Marketing,Sales,Sales Executive,4.3,Above Average,3.7,Above Average,187930,Married,White,Male,31,3,2,3
99,68FB-06A7,Elle Balcombe,Bachelor's Degree,Marketing,Sales,Sales Executive,4.25,Above Average,4.25,Above Average,180996,Single,Mixed or multiple ethnic groups,Female,43,10,0,3
100,74F2-5C55,Skipper Sambles,High School,Computer Science,Technology,Data Scientist,4.0,Above Average,3.75,Above Average,108798,Single,White,Male,47,10,0,4
101,085C-7FC2,Emmerich Wallicker,Master's Degree,Other,Sales,Sales Executive,4.125,Above Average,3.25,Average,176158,Married,White,Male,47,10,3,2
102,AB5F-244C,Horst Mynett,Master's Degree,Computer Science,Technology,Data Scientist,3.0,Average,2.625,Average,73643,Divorced,Black or African American,Male,36,10,2,2
103,55D6-1423,Benyamin Wasielewicz,High School,Other,Technology,Machine Learning Engineer,3.5,Above Average,3.125,Average,76826,Divorced,Asian or Asian American,Male,43,10,0,4
104,58C8-63FA,Pierce Birkby,Master's Degree,Computer Science,Technology,Senior Software Engineer,4.375,Above Average,3.625,Above Average,126505,Divorced,White,Male,38,10,1,2
105,87D2-8B67,Joana McDougal,High School,Information Systems,Technology,Machine Learning Engineer,4.125,Above Average,3.75,Above Average,152278,Divorced,White,Female,45,10,3,4
106,9FE1-0345,Eldridge Artois,No Formal Qualifications,Information Systems,Technology,Data Scientist,4.25,Above Average,3.75,Above Average,87175,Single,White,Male,28,10,0,5
107,EBBD-37D4,Bonni Coal,Master's Degree,Marketing,Sales,Sales Executive,3.625,Above Average,3.5,Above Average,98435,Single,Black or African American,Non-Binary,35,10,2,2
108,9F65-F612,Patrice Wearing,Bachelor's Degree,Computer Science,Technology,Data Scientist,3.7,Above Average,3.2,Average,54536,Single,Asian or Asian American,Female,28,3,0,3
109,152E-8DB1,Beth Kunz,No Formal Qualifications,Other,Technology,Software Engineer,4.0,Above Average,3.6,Above Average,63482,Single,Mixed or multiple ethnic groups,Female,31,1,0,5
110,3994-472A,Rolf Cunah,Bachelor's Degree,Computer Science,Technology,Software Engineer,3.75,Above Average,3.375,Average,153909,Divorced,White,Male,29,10,0,3
111,02DA-7A72,Tadeas Lackney,Bachelor's Degree,Technical Degree,Sales,Sales Representative,3.5,Above Average,3.1,Average,78726,Married,White,Male,29,6,0,3
112,E1B4-9AA1,Ashli Hales,Bachelor's Degree,Marketing,Sales,Sales Executive,4.2,Above Average,3.3,Average,96188,Married,White,Female,46,9,2,3
113,8567-5B27,Shani Deackes,No Formal Qualifications,Technical Degree,Sales,Sales Representative,3.9,Above Average,3.2,Average,53439,Single,Black or African American,Female,28,3,3,5
114,5237-1B85,Faydra Losbie,Master's Degree,Computer Science,Technology,Software Engineer,4.1,Above Average,4.0,Above Average,43578,Single,Asian or Asian American,Female,28,5,0,2
115,F93D-CB5A,Zondra Duigenan,Bachelor's Degree,Information Systems,Technology,Senior Software Engineer,4.625,Excellent,4.0,Above Average,120858,Single,Mixed or multiple ethnic groups,Female,40,10,1,3
116,B785-D8F8,Ruprecht Blatchford,High School,Computer Science,Technology,Software Engineer,3.875,Above Average,3.5,Above Average,78672,Single,Black or African American,Male,32,10,1,4
117,A9EB-9E41,Jacki Mitro,No Formal Qualifications,Computer Science,Technology,Machine Learning Engineer,4.375,Above Average,4.0,Above Average,228438,Married,Asian or Asian American,Female,30,10,1,5
118,C25C-C434,Jillayne Goshawke,Master's Degree,Computer Science,Technology,Software Engineer,3.875,Above Average,3.25,Average,71257,Single,Mixed or multiple ethnic groups,Female,35,10,0,2
119,F265-79B0,Glenda Peacock,Master's Degree,Computer Science,Technology,Machine Learning Engineer,3.875,Above Average,3.625,Above Average,99936,Married,Mixed or multiple ethnic groups,Female,37,10,0,2
120,9E7A-1F70,Carita Strowther,High School,Marketing,Sales,Sales Executive,4.4,Above Average,3.9,Above Average,129356,Single,Mixed or multiple ethnic groups,Female,29,5,1,4
121,D199-1896,Lin Dibbs,Bachelor's Degree,Economics,Sales,Sales Executive,4.125,Above Average,3.5,Above Average,206277,Married,White,Female,42,10,0,3
122,9AAD-D3C1,Annie Jablonski,High School,Other,Sales,Sales Executive,3.375,Average,3.0,Average,106610,Divorced,Black or African American,Female,45,10,0,4
123,9D7B-9B37,Eleanor Hillen,Bachelor's Degree,Marketing,Sales,Sales Executive,3.625,Above Average,3.125,Average,194964,Married,Mixed or multiple ethnic groups,Female,28,10,0,3
124,E9B9-3944,Tobit Lowry,No Formal Qualifications,Computer Science,Technology,Data Scientist,3.75,Above Average,3.25,Average,47461,Single,Mixed or multiple ethnic groups,Male,42,10,0,5
125,4CCA-B1E6,Dolf Featenby,High School,Marketing,Sales,Sales Executive,3.875,Above Average,3.125,Average,176705,Divorced,White,Male,43,10,0,4
126,A4A4-F49C,Nichols Baty,Bachelor's Degree,Computer Science,Technology,Senior Software Engineer,3.875,Above Average,3.25,Average,97542,Married,White,Male,34,10,0,3
127,FE2B-3DC7,Mattie Wippermann,Bachelor's Degree,Information Systems,Technology,Data Scientist,4.2,Above Average,3.7,Above Average,35606,Married,White,Female,28,5,0,3
128,C6D7-A568,Eve Takkos,High School,Marketing,Sales,Sales Representative,3.75,Above Average,3.125,Average,48922,Married,White,Female,42,10,0,4
129,3560-C117,Allyson Kordas,Bachelor's Degree,Computer Science,Technology,Data Scientist,3.6,Above Average,3.1,Average,65659,Married,Mixed or multiple ethnic groups,Female,28,2,1,3
130,9169-FC4B,Reinaldos Baynes,High School,Economics,Human Resources,HR Executive,3.7,Above Average,3.0,Average,179561,Married,Native Hawaiian ,Male,28,1,0,4
131,49B2-0364,Husain Frizzell,Bachelor's Degree,Marketing,Sales,Sales Representative,3.5,Above Average,3.125,Average,70487,Married,Black or African American,Male,45,10,1,3
132,4404-DE5A,Karina Weddup,No Formal Qualifications,Computer Science,Technology,Software Engineer,4.375,Above Average,4.125,Above Average,68256,Single,Asian or Asian American,Female,32,10,3,5
133,F9B6-C80B,Veronica Farlham,Bachelor's Degree,Computer Science,Technology,Software Engineer,4.0,Above Average,3.625,Above Average,43211,Divorced,White,Female,43,10,0,3
134,B1EC-849B,Paule Mapplebeck,Master's Degree,Marketing,Sales,Sales Executive,3.5,Above Average,2.875,Average,87039,Married,White,Female,28,10,1,2
135,7B98-EA6F,Gabriello Clemente,Bachelor's Degree,Information Systems,Technology,Data Scientist,4.25,Above Average,3.5,Above Average,108623,Single,Native Hawaiian ,Male,44,10,1,3
136,C385-CDBE,Filide Dinnies,Bachelor's Degree,Computer Science,Technology,Machine Learning Engineer,3.875,Above Average,3.5,Above Average,218940,Single,White,Female,36,10,0,3
137,64D6-0D5F,Sherwood Furlow,Bachelor's Degree,Information Systems,Technology,Analytics Manager,3.75,Above Average,3.0,Average,368494,Single,Black or African American,Non-Binary,37,10,1,3
138,9085-1FE8,Fan Pizey,High School,Business Studies,Technology,Data Scientist,4.5,Excellent,4.25,Above Average,119917,Married,Mixed or multiple ethnic groups,Female,35,10,1,4
139,9728-1A5B,Vernen Rennie,High School,Marketing,Sales,Sales Executive,4.125,Above Average,3.375,Average,191771,Divorced,Mixed or multiple ethnic groups,Male,48,10,2,4
140,3EB2-9111,Ginger Blinde,Master's Degree,Information Systems,Technology,Data Scientist,3.875,Above Average,3.375,Average,35749,Divorced,White,Male,48,10,1,2
141,C330-DAF4,Lonni Lelievre,High School,Economics,Sales,Sales Executive,4.0,Above Average,3.5,Above Average,100710,Divorced,White,Female,34,10,1,4
142,041A-31B0,Gerri Fullerlove,Bachelor's Degree,Computer Science,Technology,Software Engineer,4.0,Above Average,3.25,Average,50386,Married,Black or African American,Female,34,10,0,3
143,8EE9-E86D,Conn Mouser,Bachelor's Degree,Human Resources,Human Resources,Recruiter,3.8,Above Average,3.3,Average,48740,Divorced,White,Male,46,10,1,3
144,692B-7152,Murry Dominici,Bachelor's Degree,Marketing,Sales,Sales Executive,4.0,Above Average,3.625,Above Average,249553,Married,Asian or Asian American,Male,47,10,3,3
145,022A-0219,Francine Fernez,Bachelor's Degree,Business Studies,Technology,Software Engineer,3.875,Above Average,3.125,Average,86639,Married,American Indian or Alaska Native,Female,32,10,2,3
146,2F85-AF81,Cassandre Joubert,Master's Degree,Business Studies,Technology,Senior Software Engineer,4.125,Above Average,4.0,Above Average,167089,Married,White,Non-Binary,42,10,0,2
147,DFE3-6FA7,Eulalie Critch,Bachelor's Degree,Marketing,Sales,Sales Executive,3.8,Above Average,3.4,Average,350525,Single,American Indian or Alaska Native,Female,43,9,0,3
148,5B08-EF96,Karlen Gulston,Master's Degree,Other,Technology,Data Scientist,3.875,Above Average,3.375,Average,77136,Divorced,Asian or Asian American,Female,36,10,0,2
149,52DD-757F,Danielle Viste,High School,Information Systems,Technology,Machine Learning Engineer,3.625,Above Average,2.875,Average,92884,Divorced,White,Female,48,10,1,4
150,E7D3-03C9,Whitman Schruyers,Master's Degree,Marketing,Sales,Sales Executive,4.0,Above Average,3.5,Above Average,91179,Single,White,Male,42,10,1,2
151,7C80-94E0,Celie Jedrys,Bachelor's Degree,Computer Science,Technology,Machine Learning Engineer,4.375,Above Average,4.0,Above Average,88726,Single,Asian or Asian American,Female,33,9,0,3
152,EE04-1533,Doralynne Giacoboni,Bachelor's Degree,Technical Degree,Sales,Sales Representative,4.142857142857143,Above Average,3.2857142857142856,Average,46684,Married,American Indian or Alaska Native,Female,47,9,1,3
153,67ED-A630,Adan Fradgley,Master's Degree,Marketing,Sales,Sales Executive,4.142857142857143,Above Average,3.2857142857142856,Average,102061,Married,Asian or Asian American,Male,29,9,1,2
154,D351-C7E4,Doralin Whiley,High School,Information Systems,Technology,Data Scientist,4.285714285714286,Above Average,3.7142857142857144,Above Average,73577,Married,Asian or Asian American,Female,42,9,0,4
155,86E2-73D1,Purcell Keig,Bachelor's Degree,Computer Science,Technology,Machine Learning Engineer,4.0,Above Average,3.4285714285714284,Average,81115,Single,Black or African American,Male,39,9,0,3
156,8583-9174,Mimi Mawditt,High School,Computer Science,Technology,Software Engineer,4.142857142857143,Above Average,3.4285714285714284,Average,100717,Single,White,Female,46,9,0,4
157,6176-3BEE,Trumaine Nevett,Bachelor's Degree,Marketing,Sales,Sales Executive,3.9,Above Average,3.6,Above Average,149688,Single,Black or African American,Male,29,2,0,3
158,AF58-5D1B,Jeri MacDiarmid,High School,Computer Science,Technology,Software Engineer,3.5714285714285716,Above Average,3.0,Average,60585,Married,White,Female,36,9,2,4
159,16FB-8835,Albina Baston,Bachelor's Degree,Computer Science,Technology,Engineering Manager,3.4285714285714284,Average,2.857142857142857,Average,514945,Married,White,Female,46,9,3,3
